Target Link,Target Name,Target ID,Attacker 1,Attacker 1 Leader,Attacker 2,Attacker 2 Leader,Attacker 3,Attacker 3 Leader,,Defender 1,Defender 1 Leader,Defender 2,Defender 2 Leader,Defender 3,Defender 3 Leader,Defender 4,Defender 4 Leader,Defender 5,Defender 5 Leader
https://politicsandwar.com/nation/id=127849,Kublai Khan,127849,https://politicsandwar.com/nation/id=97760,Isjaki,https://politicsandwar.com/nation/id=194382,Taiga Aisaka,https://politicsandwar.com/nation/id=125354,Strett,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=246232,WH Russell,246232,https://politicsandwar.com/nation/id=60766,Daveth,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,https://politicsandwar.com/nation/id=125354,Strett,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=125010,Tiberius Auhozen,125010,https://politicsandwar.com/nation/id=194382,Taiga Aisaka,https://politicsandwar.com/nation/id=97760,Isjaki,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=199803,Xi Jinping,199803,https://politicsandwar.com/nation/id=21196,Tyras Calidan,https://politicsandwar.com/nation/id=84969,Zeannon,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=137836,Dullard,137836,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,https://politicsandwar.com/nation/id=205964,A human,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=139221,Jack Poe,139221,https://politicsandwar.com/nation/id=207627,GrandmasterBee,https://politicsandwar.com/nation/id=60766,Daveth,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=132094,Charles Seeker,132094,https://politicsandwar.com/nation/id=125354,Strett,https://politicsandwar.com/nation/id=109837,Antonio,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=107543,Sir Oliver,107543,https://politicsandwar.com/nation/id=205964,A human,https://politicsandwar.com/nation/id=123779,Asierith,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=121350,Shohan,121350,https://politicsandwar.com/nation/id=84969,Zeannon,https://politicsandwar.com/nation/id=148081,Madder Red,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=203766,Zedadiah Logan,203766,https://politicsandwar.com/nation/id=21196,Tyras Calidan,https://politicsandwar.com/nation/id=148081,Madder Red,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=134360,Marsches,134360,https://politicsandwar.com/nation/id=60766,Daveth,https://politicsandwar.com/nation/id=94204,Al Fappino,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=141593,Count Clement,141593,https://politicsandwar.com/nation/id=123779,Asierith,https://politicsandwar.com/nation/id=92845,Billy,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=108666,The End Of The Line,108666,https://politicsandwar.com/nation/id=234558,Shamadruu,https://politicsandwar.com/nation/id=163803,Haakon,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=202689,MBaku,202689,https://politicsandwar.com/nation/id=204444,MrPineapple,https://politicsandwar.com/nation/id=240724,Lemon Lord,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
