Target Link,Target Name,Target ID,Attacker 1,Attacker 1 Leader,Attacker 2,Attacker 2 Leader,Attacker 3,Attacker 3 Leader,,Defender 1,Defender 1 Leader,Defender 2,Defender 2 Leader,Defender 3,Defender 3 Leader,Defender 4,Defender 4 Leader,Defender 5,Defender 5 Leader
https://politicsandwar.com/nation/id=33644,Arfcom,33644,https://politicsandwar.com/nation/id=207627,GrandmasterBee,https://politicsandwar.com/nation/id=65816,Kabu,https://politicsandwar.com/nation/id=20653,Sval,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=152232,United Cats of America,152232,https://politicsandwar.com/nation/id=123779,Asierith,https://politicsandwar.com/nation/id=205964,A human,https://politicsandwar.com/nation/id=84969,Zeannon,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=59381,Prometheus,59381,https://politicsandwar.com/nation/id=194382,Taiga Aisaka,https://politicsandwar.com/nation/id=148081,Madder Red,https://politicsandwar.com/nation/id=21196,Tyras Calidan,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=55073,The Florence Republic,55073,https://politicsandwar.com/nation/id=14003,Zygon,https://politicsandwar.com/nation/id=68915,Darth Ataxia,https://politicsandwar.com/nation/id=64703,My2Lemons,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=110520,Freemen,110520,https://politicsandwar.com/nation/id=194382,Taiga Aisaka,https://politicsandwar.com/nation/id=148081,Madder Red,https://politicsandwar.com/nation/id=20653,Sval,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=19635,Odisha,19635,https://politicsandwar.com/nation/id=123779,Asierith,https://politicsandwar.com/nation/id=205964,A human,https://politicsandwar.com/nation/id=84969,Zeannon,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=167082,United States of Jewdini,167082,https://politicsandwar.com/nation/id=60766,Daveth,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,https://politicsandwar.com/nation/id=112098,Miyamoto Musashi,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=152014,Mountain and Vale,152014,https://politicsandwar.com/nation/id=60766,Daveth,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,https://politicsandwar.com/nation/id=107297,bulbasaursucks,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=49033,Democratic Pakistan,49033,https://politicsandwar.com/nation/id=92845,Billy,https://politicsandwar.com/nation/id=163803,Haakon,https://politicsandwar.com/nation/id=107297,bulbasaursucks,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=213029,Thoastan,213029,https://politicsandwar.com/nation/id=245457,Karan,https://politicsandwar.com/nation/id=117241,Waldo,,Loading...,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
