Target Link,Target Name,Target ID,Attacker 1,Attacker 1 Leader,Attacker 2,Attacker 2 Leader,Attacker 3,Attacker 3 Leader,,Defender 1,Defender 1 Leader,Defender 2,Defender 2 Leader,Defender 3,Defender 3 Leader,Defender 4,Defender 4 Leader,Defender 5,Defender 5 Leader
https://politicsandwar.com/nation/id=210560,Doggy,210560,https://politicsandwar.com/nation/id=234558,Shamadruu,https://politicsandwar.com/nation/id=204444,MrPineapple,,Loading...,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=91754,Havork Empire,91754,https://politicsandwar.com/nation/id=94113,Trouble 3,https://politicsandwar.com/nation/id=240724,Lemon Lord,,#ERROR!,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=162009,The Holy Britannia Empire,162009,https://politicsandwar.com/nation/id=127170,Ragnarok8085,https://politicsandwar.com/nation/id=94204,Al Fappino,,#ERROR!,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=213458,Pruswick-Saxonburg,213458,https://politicsandwar.com/nation/id=94113,Trouble 3,https://politicsandwar.com/nation/id=240724,Lemon Lord,,#ERROR!,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=150945,Talamh an Eisc,150945,https://politicsandwar.com/nation/id=188556,Kamade,https://politicsandwar.com/nation/id=182262,MFG45320,,#ERROR!,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=219334,Astora,219334,https://politicsandwar.com/nation/id=256434,Tomoya,https://politicsandwar.com/nation/id=188556,Kamade,,#ERROR!,,,Loading...,,Loading...,,Loading...,,Loading...,,Loading...
https://politicsandwar.com/nation/id=191840,Emirose,191840,https://politicsandwar.com/nation/id=256434,Tomoya,https://politicsandwar.com/nation/id=235391,BabyYoda,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=89441,Evlamican Empire,89441,https://politicsandwar.com/nation/id=188556,Kamade,https://politicsandwar.com/nation/id=182262,MFG45320,,Loading...,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=43325,United Britannic Kingdoms,43325,https://politicsandwar.com/nation/id=204014,Henry Sutton,https://politicsandwar.com/nation/id=60910,Kyosuke,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=253407,Aldur,253407,https://politicsandwar.com/nation/id=206764,Auto Von Bismarck,https://politicsandwar.com/nation/id=134871,Kebabini,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=57196,Atlandis,57196,https://politicsandwar.com/nation/id=217361,Cthulhu The Devourer,https://politicsandwar.com/nation/id=235391,BabyYoda,,#ERROR!,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=283908,Questionable Origin,283908,https://politicsandwar.com/nation/id=206764,Auto Von Bismarck,https://politicsandwar.com/nation/id=134871,Kebabini,,#ERROR!,,,,,,,,,,,
